00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9990
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9990
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 0.9990
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.0000; cos: 0.9995
19; MSE: 0.0000; cos: 0.9995
20; MSE: 0.4604; cos: 0.9995
21; MSE: 0.6567; cos: 0.9995
22; MSE: 0.9668; cos: 0.9995
23; MSE: 1.3760; cos: 0.9995
24; MSE: 2.0273; cos: 0.9990
25; MSE: 3.1875; cos: 0.9995
26; MSE: 4.9922; cos: 0.9990
27; MSE: 7.5430; cos: 0.9922
28; MSE: 3.0977; cos: 0.9502
