00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9995
05; MSE: 0.0000; cos: 1.0010
06; MSE: 0.0000; cos: 0.9990
07; MSE: 0.0000; cos: 0.9990
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 0.9995
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 0.9990
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 0.9995
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 0.9995
21; MSE: 0.0000; cos: 0.9995
22; MSE: 0.0000; cos: 1.0010
23; MSE: 0.0000; cos: 1.0010
24; MSE: 0.0000; cos: 1.0010
25; MSE: 0.0000; cos: 1.0000
26; MSE: 0.0500; cos: 0.9995
27; MSE: 0.0598; cos: 1.0000
28; MSE: 0.0687; cos: 1.0010
29; MSE: 0.0768; cos: 0.9995
30; MSE: 0.0906; cos: 1.0000
31; MSE: 0.1141; cos: 1.0010
32; MSE: 0.0003; cos: 1.0000
