00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9985
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9990
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 0.9995
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0049; cos: 1.0000
22; MSE: 0.0062; cos: 1.0000
23; MSE: 0.0059; cos: 1.0000
24; MSE: 0.0057; cos: 0.9995
25; MSE: 0.0059; cos: 1.0000
26; MSE: 0.0066; cos: 1.0000
27; MSE: 0.0070; cos: 1.0000
28; MSE: 0.0082; cos: 1.0000
29; MSE: 0.0099; cos: 1.0000
30; MSE: 0.0123; cos: 1.0000
31; MSE: 0.0158; cos: 0.9990
32; MSE: 0.0197; cos: 0.9995
33; MSE: 0.0251; cos: 0.9995
34; MSE: 0.0903; cos: 0.9980
35; MSE: 0.1032; cos: 0.8677
36; MSE: 0.1757; cos: 0.8770
