00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 0.9995
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 0.9995
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 0.9995
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 0.9995
21; MSE: 0.0000; cos: 0.9995
22; MSE: 0.0299; cos: 1.0010
23; MSE: 0.0300; cos: 1.0000
24; MSE: 0.0338; cos: 1.0000
25; MSE: 0.0353; cos: 1.0000
26; MSE: 0.0386; cos: 0.9995
27; MSE: 0.0443; cos: 1.0010
28; MSE: 0.0503; cos: 0.9995
29; MSE: 0.0561; cos: 1.0000
30; MSE: 0.0654; cos: 1.0000
31; MSE: 0.0782; cos: 0.9995
32; MSE: 0.0002; cos: 1.0000
