00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0036; cos: 0.9999
15; MSE: 0.0038; cos: 0.9999
16; MSE: 0.0034; cos: 0.9999
17; MSE: 0.0032; cos: 0.9999
18; MSE: 0.0032; cos: 0.9999
19; MSE: 0.0032; cos: 0.9999
20; MSE: 0.0027; cos: 1.0000
21; MSE: 0.0027; cos: 1.0000
22; MSE: 0.0030; cos: 0.9999
23; MSE: 0.0031; cos: 0.9999
24; MSE: 0.0031; cos: 0.9999
25; MSE: 0.0034; cos: 0.9999
26; MSE: 0.0038; cos: 0.9999
27; MSE: 0.0042; cos: 0.9999
28; MSE: 0.0049; cos: 0.9999
29; MSE: 0.0061; cos: 0.9999
30; MSE: 0.0074; cos: 0.9999
31; MSE: 0.0096; cos: 0.9998
32; MSE: 0.0119; cos: 0.9998
33; MSE: 0.0152; cos: 0.9997
34; MSE: 0.0378; cos: 0.9987
35; MSE: 0.0476; cos: 0.9425
36; MSE: 0.0810; cos: 0.9430
