00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0010
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0010
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 0.9990
07; MSE: 0.0000; cos: 1.0010
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 0.9990
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0000
16; MSE: 4.3594; cos: 1.0000
17; MSE: 5.1328; cos: 1.0000
18; MSE: 6.4453; cos: 1.0000
19; MSE: 8.4375; cos: 1.0000
20; MSE: 11.4141; cos: 0.9995
21; MSE: 14.6406; cos: 1.0000
22; MSE: 18.2188; cos: 0.9990
23; MSE: inf; cos: 0.9995
24; MSE: 0.1414; cos: 0.9692
