00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0035; cos: 1.0000
18; MSE: 0.0041; cos: 0.9999
19; MSE: 0.0043; cos: 0.9999
20; MSE: 0.0039; cos: 0.9999
21; MSE: 0.0039; cos: 0.9999
22; MSE: 0.0041; cos: 0.9999
23; MSE: 0.0042; cos: 0.9999
24; MSE: 0.0042; cos: 0.9999
25; MSE: 0.0044; cos: 0.9999
26; MSE: 0.0050; cos: 0.9999
27; MSE: 0.0058; cos: 0.9999
28; MSE: 0.0072; cos: 0.9999
29; MSE: 0.0092; cos: 0.9999
30; MSE: 0.0118; cos: 0.9998
31; MSE: 0.0150; cos: 0.9998
32; MSE: 0.0207; cos: 0.9997
33; MSE: 0.0280; cos: 0.9995
34; MSE: 0.0875; cos: 0.9975
35; MSE: 0.1027; cos: 0.8814
36; MSE: 0.2725; cos: 0.8019
