00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9985
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9990
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 0.9995
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0010
22; MSE: 0.0000; cos: 1.0010
23; MSE: 0.0091; cos: 1.0000
24; MSE: 0.0144; cos: 1.0000
25; MSE: 0.0157; cos: 1.0000
26; MSE: 0.0173; cos: 1.0000
27; MSE: 0.0170; cos: 1.0000
28; MSE: 0.0193; cos: 0.9995
29; MSE: 0.0231; cos: 1.0000
30; MSE: 0.0273; cos: 1.0000
31; MSE: 0.0339; cos: 0.9985
32; MSE: 0.0413; cos: 0.9980
33; MSE: 0.0510; cos: 0.9985
34; MSE: 0.1152; cos: 0.9961
35; MSE: 0.1355; cos: 0.8223
36; MSE: 0.2771; cos: 0.8057
