00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9990
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9990
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 0.9990
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.2084; cos: 0.9995
19; MSE: 0.2399; cos: 0.9995
20; MSE: 0.2988; cos: 0.9995
21; MSE: 0.4275; cos: 1.0000
22; MSE: 0.6484; cos: 1.0000
23; MSE: 0.9258; cos: 1.0000
24; MSE: 1.3516; cos: 1.0000
25; MSE: 2.1602; cos: 0.9990
26; MSE: 3.4062; cos: 0.9995
27; MSE: 5.5039; cos: 0.9941
28; MSE: 1.8770; cos: 0.9712
