00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9990
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9990
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 0.9990
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 0.9995
18; MSE: 0.1802; cos: 0.9995
19; MSE: 0.1985; cos: 0.9995
20; MSE: 0.2465; cos: 0.9995
21; MSE: 0.3459; cos: 0.9995
22; MSE: 0.5137; cos: 0.9995
23; MSE: 0.7300; cos: 1.0000
24; MSE: 1.0928; cos: 1.0000
25; MSE: 1.7676; cos: 0.9995
26; MSE: 2.7930; cos: 0.9995
27; MSE: 4.5312; cos: 0.9946
28; MSE: 1.6133; cos: 0.9756
