00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 0.9990
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0010
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 0.9990
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0010
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 0.9995
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0010
20; MSE: 0.0000; cos: 0.9990
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.0000; cos: 1.0000
24; MSE: 0.0000; cos: 0.9995
25; MSE: 0.0000; cos: 0.9990
26; MSE: 0.0000; cos: 0.9990
27; MSE: 0.0000; cos: 0.9990
28; MSE: 0.0000; cos: 1.0000
29; MSE: 0.0000; cos: 0.9995
30; MSE: 0.0000; cos: 1.0000
31; MSE: 0.0000; cos: 1.0010
32; MSE: 0.0004; cos: 1.0000
33; MSE: 0.0005; cos: 1.0000
34; MSE: 0.0072; cos: 1.0000
35; MSE: 0.0075; cos: 0.9956
36; MSE: 0.0025; cos: 0.9980
