00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.0000; cos: 1.0000
24; MSE: 0.0002; cos: 1.0000
25; MSE: 0.0002; cos: 1.0000
26; MSE: 0.0002; cos: 1.0000
27; MSE: 0.0002; cos: 1.0000
28; MSE: 0.0002; cos: 1.0000
29; MSE: 0.0002; cos: 1.0000
30; MSE: 0.0002; cos: 1.0000
31; MSE: 0.0003; cos: 1.0000
32; MSE: 0.0003; cos: 1.0000
33; MSE: 0.0004; cos: 1.0000
34; MSE: 0.0005; cos: 1.0000
35; MSE: 0.0007; cos: 0.9993
36; MSE: 0.0014; cos: 0.9990
