00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 0.9995
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9995
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 0.9985
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0001; cos: 0.9995
14; MSE: 0.0000; cos: 1.0010
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9990
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.0000; cos: 0.9995
20; MSE: 0.0000; cos: 1.0000
21; MSE: 0.0000; cos: 1.0010
22; MSE: 0.0000; cos: 1.0010
23; MSE: 0.0000; cos: 1.0010
24; MSE: 0.0000; cos: 1.0000
25; MSE: 0.0001; cos: 1.0000
26; MSE: 0.0001; cos: 1.0000
27; MSE: 0.0001; cos: 1.0000
28; MSE: 0.0001; cos: 1.0000
29; MSE: 0.0001; cos: 1.0010
30; MSE: 0.0001; cos: 1.0000
31; MSE: 0.0002; cos: 0.9995
32; MSE: 0.0002; cos: 0.9990
33; MSE: 0.0003; cos: 0.9995
34; MSE: 0.0004; cos: 1.0000
35; MSE: 0.0006; cos: 1.0000
36; MSE: 0.0016; cos: 0.9990
