00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0000
04; MSE: 0.0000; cos: 0.9990
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0010
11; MSE: 0.0000; cos: 0.9990
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0022; cos: 1.0010
15; MSE: 0.0021; cos: 0.9990
16; MSE: 0.0021; cos: 0.9995
17; MSE: 0.0022; cos: 0.9995
18; MSE: 0.0024; cos: 0.9995
19; MSE: 0.0025; cos: 0.9995
20; MSE: 0.0030; cos: 0.9995
21; MSE: 0.0041; cos: 1.0000
22; MSE: 0.0059; cos: 1.0000
23; MSE: 0.0085; cos: 1.0000
24; MSE: 0.0134; cos: 1.0000
25; MSE: 0.0230; cos: 0.9995
26; MSE: 0.0374; cos: 0.9995
27; MSE: 0.0548; cos: 0.9990
28; MSE: 0.0181; cos: 1.0000
