00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0010
03; MSE: 0.0000; cos: 0.9995
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 0.9990
06; MSE: 0.0000; cos: 0.9995
07; MSE: 0.0000; cos: 1.0010
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0010
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 0.9995
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 1.0000
17; MSE: 0.0000; cos: 0.9990
18; MSE: 0.0000; cos: 0.9990
19; MSE: 0.0037; cos: 1.0000
20; MSE: 0.0040; cos: 1.0000
21; MSE: 0.0044; cos: 1.0010
22; MSE: 0.0051; cos: 1.0000
23; MSE: 0.0061; cos: 1.0000
24; MSE: 0.0073; cos: 1.0000
25; MSE: 0.0092; cos: 0.9995
26; MSE: 0.0112; cos: 1.0000
27; MSE: 0.0141; cos: 1.0010
28; MSE: 0.0170; cos: 1.0000
29; MSE: 0.0215; cos: 1.0000
30; MSE: 0.0264; cos: 0.9995
31; MSE: 0.0319; cos: 1.0000
32; MSE: 0.0007; cos: 1.0000
