00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0010
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0010
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0000; cos: 1.0000
08; MSE: 0.0000; cos: 1.0010
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 0.9995
12; MSE: 0.0000; cos: 1.0010
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0000; cos: 1.0000
16; MSE: 0.0000; cos: 0.9990
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0010
19; MSE: 0.0000; cos: 1.0000
20; MSE: 0.0000; cos: 1.0010
21; MSE: 0.0000; cos: 1.0000
22; MSE: 0.0000; cos: 1.0000
23; MSE: 0.0000; cos: 1.0000
24; MSE: 0.0000; cos: 1.0000
25; MSE: 0.0021; cos: 1.0010
26; MSE: 0.0023; cos: 1.0000
27; MSE: 0.0022; cos: 1.0010
28; MSE: 0.0022; cos: 1.0000
29; MSE: 0.0024; cos: 1.0000
30; MSE: 0.0027; cos: 1.0000
31; MSE: 0.0064; cos: 0.9995
32; MSE: 0.0048; cos: 0.9995
33; MSE: 0.0061; cos: 1.0000
34; MSE: 0.0067; cos: 1.0000
35; MSE: 0.0083; cos: 0.9995
36; MSE: 0.0013; cos: 1.0000
