00; MSE: 0.0000; cos: 1.0010
01; MSE: 0.0000; cos: 1.0000
02; MSE: 0.0000; cos: 1.0010
03; MSE: 0.0000; cos: 0.9990
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0010
07; MSE: 0.0000; cos: 0.9995
08; MSE: 0.0000; cos: 1.0000
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 1.0000
11; MSE: 0.0000; cos: 1.0000
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 0.9995
14; MSE: 0.0000; cos: 0.9995
15; MSE: 0.0000; cos: 1.0010
16; MSE: 0.0000; cos: 0.9995
17; MSE: 0.0000; cos: 1.0000
18; MSE: 0.0000; cos: 1.0000
19; MSE: 0.5972; cos: 1.0000
20; MSE: 0.6494; cos: 0.9995
21; MSE: 0.7295; cos: 1.0000
22; MSE: 0.8911; cos: 0.9990
23; MSE: 1.0664; cos: 1.0000
24; MSE: 1.2881; cos: 0.9995
25; MSE: 1.5293; cos: 1.0010
26; MSE: 1.8496; cos: 0.9995
27; MSE: 2.1426; cos: 0.9985
28; MSE: 2.4277; cos: 0.9985
29; MSE: 2.9023; cos: 0.9990
30; MSE: 3.6836; cos: 0.9878
31; MSE: 4.1016; cos: 0.9868
32; MSE: 0.0792; cos: 0.9819
