00; MSE: 0.0000; cos: 1.0000
01; MSE: 0.0000; cos: 0.9995
02; MSE: 0.0000; cos: 1.0000
03; MSE: 0.0000; cos: 1.0010
04; MSE: 0.0000; cos: 1.0000
05; MSE: 0.0000; cos: 1.0000
06; MSE: 0.0000; cos: 1.0000
07; MSE: 0.0000; cos: 1.0010
08; MSE: 0.0000; cos: 0.9995
09; MSE: 0.0000; cos: 1.0000
10; MSE: 0.0000; cos: 0.9995
11; MSE: 0.0000; cos: 1.0010
12; MSE: 0.0000; cos: 1.0000
13; MSE: 0.0000; cos: 1.0000
14; MSE: 0.0000; cos: 1.0000
15; MSE: 0.0029; cos: 1.0010
16; MSE: 0.0027; cos: 1.0000
17; MSE: 0.0027; cos: 1.0010
18; MSE: 0.0026; cos: 1.0000
19; MSE: 0.0025; cos: 0.9995
20; MSE: 0.0025; cos: 0.9995
21; MSE: 0.0028; cos: 1.0010
22; MSE: 0.0032; cos: 0.9995
23; MSE: 0.0040; cos: 1.0010
24; MSE: 0.0049; cos: 1.0000
25; MSE: 0.0062; cos: 0.9995
26; MSE: 0.0081; cos: 1.0000
27; MSE: 0.0116; cos: 1.0000
28; MSE: 0.0208; cos: 1.0000
